number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
successful step! iteration = 118 , error before = 75301.330389 , error next = 74714.043869 , error change = 587.286519 , lambda = 0.200000 , time consumption = 0.474952s

unsuccessful step! iteration = 119 , error before = 74714.043869 , error next = 75456.011790 , error change = -741.967921 , lambda = 2.000000 , time consumption = 0.473209s

successful step! iteration = 120 , error before = 74714.043869 , error next = 74134.737583 , error change = 579.306286 , lambda = 0.200000 , time consumption = 0.468437s

unsuccessful step! iteration = 121 , error before = 74134.737583 , error next = 74866.432025 , error change = -731.694442 , lambda = 2.000000 , time consumption = 0.523714s

successful step! iteration = 122 , error before = 74134.737583 , error next = 73563.112960 , error change = 571.624623 , lambda = 0.200000 , time consumption = 0.474434s

unsuccessful step! iteration = 123 , error before = 73563.112960 , error next = 74284.930069 , error change = -721.817109 , lambda = 2.000000 , time consumption = 0.481804s

successful step! iteration = 124 , error before = 73563.112960 , error next = 72998.894220 , error change = 564.218740 , lambda = 0.200000 , time consumption = 0.468246s

unsuccessful step! iteration = 125 , error before = 72998.894220 , error next = 73711.199653 , error change = -712.305433 , lambda = 2.000000 , time consumption = 0.460436s

successful step! iteration = 126 , error before = 72998.894220 , error next = 72441.826404 , error change = 557.067816 , lambda = 0.200000 , time consumption = 0.461875s

unsuccessful step! iteration = 127 , error before = 72441.826404 , error next = 73144.957965 , error change = -703.131561 , lambda = 2.000000 , time consumption = 0.465781s

successful step! iteration = 128 , error before = 72441.826404 , error next = 71891.673584 , error change = 550.152820 , lambda = 0.200000 , time consumption = 0.470233s

unsuccessful step! iteration = 129 , error before = 71891.673584 , error next = 72585.943628 , error change = -694.270045 , lambda = 2.000000 , time consumption = 0.465367s

successful step! iteration = 130 , error before = 71891.673584 , error next = 71348.217228 , error change = 543.456356 , lambda = 0.200000 , time consumption = 0.466888s

unsuccessful step! iteration = 131 , error before = 71348.217228 , error next = 72033.914852 , error change = -685.697624 , lambda = 2.000000 , time consumption = 0.514425s

successful step! iteration = 132 , error before = 71348.217228 , error next = 70811.254709 , error change = 536.962519 , lambda = 0.200000 , time consumption = 0.469485s

unsuccessful step! iteration = 133 , error before = 70811.254709 , error next = 71488.647750 , error change = -677.393041 , lambda = 2.000000 , time consumption = 0.463597s

successful step! iteration = 134 , error before = 70811.254709 , error next = 70280.597891 , error change = 530.656818 , lambda = 0.200000 , time consumption = 0.465428s

unsuccessful step! iteration = 135 , error before = 70280.597891 , error next = 70949.934822 , error change = -669.336931 , lambda = 2.000000 , time consumption = 0.466634s

successful step! iteration = 136 , error before = 70280.597891 , error next = 69756.071957 , error change = 524.525934 , lambda = 0.200000 , time consumption = 0.469167s

unsuccessful step! iteration = 137 , error before = 69756.071957 , error next = 70417.583373 , error change = -661.511416 , lambda = 2.000000 , time consumption = 0.462566s

successful step! iteration = 138 , error before = 69756.071957 , error next = 69237.514339 , error change = 518.557618 , lambda = 0.200000 , time consumption = 0.468066s

unsuccessful step! iteration = 139 , error before = 69237.514339 , error next = 69891.414577 , error change = -653.900238 , lambda = 2.000000 , time consumption = 0.455684s

successful step! iteration = 140 , error before = 69237.514339 , error next = 68724.773589 , error change = 512.740749 , lambda = 0.200000 , time consumption = 0.466389s

unsuccessful step! iteration = 141 , error before = 68724.773589 , error next = 69371.262129 , error change = -646.488540 , lambda = 2.000000 , time consumption = 0.464044s

successful step! iteration = 142 , error before = 68724.773589 , error next = 68217.708431 , error change = 507.065158 , lambda = 0.200000 , time consumption = 0.472243s

unsuccessful step! iteration = 143 , error before = 68217.708431 , error next = 68856.971231 , error change = -639.262799 , lambda = 2.000000 , time consumption = 0.468433s

successful step! iteration = 144 , error before = 68217.708431 , error next = 67716.186869 , error change = 501.521562 , lambda = 0.200000 , time consumption = 0.462707s

unsuccessful step! iteration = 145 , error before = 67716.186869 , error next = 68348.397403 , error change = -632.210534 , lambda = 2.000000 , time consumption = 0.461219s

successful step! iteration = 146 , error before = 67716.186869 , error next = 67220.085435 , error change = 496.101434 , lambda = 0.200000 , time consumption = 0.468925s

unsuccessful step! iteration = 147 , error before = 67220.085435 , error next = 67845.405783 , error change = -625.320348 , lambda = 2.000000 , time consumption = 0.458354s

successful step! iteration = 148 , error before = 67220.085435 , error next = 66729.288482 , error change = 490.796953 , lambda = 0.200000 , time consumption = 0.460251s

unsuccessful step! iteration = 149 , error before = 66729.288482 , error next = 67347.870300 , error change = -618.581818 , lambda = 2.000000 , time consumption = 0.462850s

successful step! iteration = 150 , error before = 66729.288482 , error next = 66243.687519 , error change = 485.600963 , lambda = 0.200000 , time consumption = 0.459145s

unsuccessful step! iteration = 151 , error before = 66243.687519 , error next = 66855.672919 , error change = -611.985400 , lambda = 2.000000 , time consumption = 0.463205s

successful step! iteration = 152 , error before = 66243.687519 , error next = 65763.180607 , error change = 480.506912 , lambda = 0.200000 , time consumption = 0.459695s

unsuccessful step! iteration = 153 , error before = 65763.180607 , error next = 66368.702965 , error change = -605.522358 , lambda = 2.000000 , time consumption = 0.469212s

successful step! iteration = 154 , error before = 65763.180607 , error next = 65287.671809 , error change = 475.508798 , lambda = 0.200000 , time consumption = 0.463576s

unsuccessful step! iteration = 155 , error before = 65287.671809 , error next = 65886.856497 , error change = -599.184688 , lambda = 2.000000 , time consumption = 0.459535s

successful step! iteration = 156 , error before = 65287.671809 , error next = 64817.070690 , error change = 470.601119 , lambda = 0.200000 , time consumption = 0.468730s

unsuccessful step! iteration = 157 , error before = 64817.070690 , error next = 65410.035747 , error change = -592.965056 , lambda = 2.000000 , time consumption = 0.476813s

successful step! iteration = 158 , error before = 64817.070690 , error next = 64351.291814 , error change = 465.778876 , lambda = 0.200000 , time consumption = 0.460291s

unsuccessful step! iteration = 159 , error before = 64351.291814 , error next = 64938.148620 , error change = -586.856806 , lambda = 2.000000 , time consumption = 0.460515s

successful step! iteration = 160 , error before = 64351.291814 , error next = 63890.254383 , error change = 461.037431 , lambda = 0.200000 , time consumption = 0.459598s

unsuccessful step! iteration = 161 , error before = 63890.254383 , error next = 64471.108100 , error change = -580.853718 , lambda = 2.000000 , time consumption = 0.463723s

successful step! iteration = 162 , error before = 63890.254383 , error next = 63433.881880 , error change = 456.372503 , lambda = 0.200000 , time consumption = 0.461515s

