number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR

unsuccessful step! iteration = 2739 , error before = 19089.357450 , error next = 19089.357623 , error change = -0.000173 , lambda = 2.000000 , time consumption = 0.474313s

successful step! iteration = 2740 , error before = 19089.357450 , error next = 19089.357315 , error change = 0.000136 , lambda = 0.200000 , time consumption = 0.470662s

unsuccessful step! iteration = 2741 , error before = 19089.357315 , error next = 19089.357486 , error change = -0.000171 , lambda = 2.000000 , time consumption = 0.467291s

successful step! iteration = 2742 , error before = 19089.357315 , error next = 19089.357181 , error change = 0.000134 , lambda = 0.200000 , time consumption = 0.474156s

unsuccessful step! iteration = 2743 , error before = 19089.357181 , error next = 19089.357349 , error change = -0.000169 , lambda = 2.000000 , time consumption = 0.497641s

successful step! iteration = 2744 , error before = 19089.357181 , error next = 19089.357048 , error change = 0.000132 , lambda = 0.200000 , time consumption = 0.463482s

unsuccessful step! iteration = 2745 , error before = 19089.357048 , error next = 19089.357215 , error change = -0.000167 , lambda = 2.000000 , time consumption = 0.459458s

successful step! iteration = 2746 , error before = 19089.357048 , error next = 19089.356917 , error change = 0.000131 , lambda = 0.200000 , time consumption = 0.467025s

unsuccessful step! iteration = 2747 , error before = 19089.356917 , error next = 19089.357082 , error change = -0.000165 , lambda = 2.000000 , time consumption = 0.465295s

successful step! iteration = 2748 , error before = 19089.356917 , error next = 19089.356788 , error change = 0.000129 , lambda = 0.200000 , time consumption = 0.465779s

unsuccessful step! iteration = 2749 , error before = 19089.356788 , error next = 19089.356951 , error change = -0.000163 , lambda = 2.000000 , time consumption = 0.465029s

successful step! iteration = 2750 , error before = 19089.356788 , error next = 19089.356660 , error change = 0.000128 , lambda = 0.200000 , time consumption = 0.463659s

unsuccessful step! iteration = 2751 , error before = 19089.356660 , error next = 19089.356821 , error change = -0.000161 , lambda = 2.000000 , time consumption = 0.466042s

successful step! iteration = 2752 , error before = 19089.356660 , error next = 19089.356534 , error change = 0.000126 , lambda = 0.200000 , time consumption = 0.464737s

unsuccessful step! iteration = 2753 , error before = 19089.356534 , error next = 19089.356693 , error change = -0.000159 , lambda = 2.000000 , time consumption = 0.462104s

successful step! iteration = 2754 , error before = 19089.356534 , error next = 19089.356409 , error change = 0.000125 , lambda = 0.200000 , time consumption = 0.462699s

unsuccessful step! iteration = 2755 , error before = 19089.356409 , error next = 19089.356567 , error change = -0.000157 , lambda = 2.000000 , time consumption = 0.461353s

successful step! iteration = 2756 , error before = 19089.356409 , error next = 19089.356286 , error change = 0.000123 , lambda = 0.200000 , time consumption = 0.475057s

unsuccessful step! iteration = 2757 , error before = 19089.356286 , error next = 19089.356442 , error change = -0.000155 , lambda = 2.000000 , time consumption = 0.464072s

successful step! iteration = 2758 , error before = 19089.356286 , error next = 19089.356165 , error change = 0.000122 , lambda = 0.200000 , time consumption = 0.463851s

unsuccessful step! iteration = 2759 , error before = 19089.356165 , error next = 19089.356318 , error change = -0.000153 , lambda = 2.000000 , time consumption = 0.463817s

successful step! iteration = 2760 , error before = 19089.356165 , error next = 19089.356044 , error change = 0.000120 , lambda = 0.200000 , time consumption = 0.467470s

unsuccessful step! iteration = 2761 , error before = 19089.356044 , error next = 19089.356196 , error change = -0.000152 , lambda = 2.000000 , time consumption = 0.464762s

successful step! iteration = 2762 , error before = 19089.356044 , error next = 19089.355926 , error change = 0.000119 , lambda = 0.200000 , time consumption = 0.470735s

unsuccessful step! iteration = 2763 , error before = 19089.355926 , error next = 19089.356075 , error change = -0.000150 , lambda = 2.000000 , time consumption = 0.466532s

successful step! iteration = 2764 , error before = 19089.355926 , error next = 19089.355808 , error change = 0.000117 , lambda = 0.200000 , time consumption = 0.465727s

unsuccessful step! iteration = 2765 , error before = 19089.355808 , error next = 19089.355956 , error change = -0.000148 , lambda = 2.000000 , time consumption = 0.464730s

successful step! iteration = 2766 , error before = 19089.355808 , error next = 19089.355692 , error change = 0.000116 , lambda = 0.200000 , time consumption = 0.469125s

unsuccessful step! iteration = 2767 , error before = 19089.355692 , error next = 19089.355838 , error change = -0.000146 , lambda = 2.000000 , time consumption = 0.469565s

successful step! iteration = 2768 , error before = 19089.355692 , error next = 19089.355578 , error change = 0.000115 , lambda = 0.200000 , time consumption = 0.473100s

unsuccessful step! iteration = 2769 , error before = 19089.355578 , error next = 19089.355722 , error change = -0.000144 , lambda = 2.000000 , time consumption = 0.462213s

successful step! iteration = 2770 , error before = 19089.355578 , error next = 19089.355464 , error change = 0.000113 , lambda = 0.200000 , time consumption = 0.458072s

unsuccessful step! iteration = 2771 , error before = 19089.355464 , error next = 19089.355607 , error change = -0.000143 , lambda = 2.000000 , time consumption = 0.460160s

successful step! iteration = 2772 , error before = 19089.355464 , error next = 19089.355353 , error change = 0.000112 , lambda = 0.200000 , time consumption = 0.465671s

unsuccessful step! iteration = 2773 , error before = 19089.355353 , error next = 19089.355494 , error change = -0.000141 , lambda = 2.000000 , time consumption = 0.462363s

successful step! iteration = 2774 , error before = 19089.355353 , error next = 19089.355242 , error change = 0.000110 , lambda = 0.200000 , time consumption = 0.462170s

unsuccessful step! iteration = 2775 , error before = 19089.355242 , error next = 19089.355381 , error change = -0.000139 , lambda = 2.000000 , time consumption = 0.476971s

successful step! iteration = 2776 , error before = 19089.355242 , error next = 19089.355133 , error change = 0.000109 , lambda = 0.200000 , time consumption = 0.480078s

unsuccessful step! iteration = 2777 , error before = 19089.355133 , error next = 19089.355271 , error change = -0.000138 , lambda = 2.000000 , time consumption = 0.466142s

successful step! iteration = 2778 , error before = 19089.355133 , error next = 19089.355025 , error change = 0.000108 , lambda = 0.200000 , time consumption = 0.468786s

unsuccessful step! iteration = 2779 , error before = 19089.355025 , error next = 19089.355161 , error change = -0.000136 , lambda = 2.000000 , time consumption = 0.462393s

successful step! iteration = 2780 , error before = 19089.355025 , error next = 19089.354919 , error change = 0.000107 , lambda = 0.200000 , time consumption = 0.466805s

unsuccessful step! iteration = 2781 , error before = 19089.354919 , error next = 19089.355053 , error change = -0.000134 , lambda = 2.000000 , time consumption = 0.469736s

successful step! iteration = 2782 , error before = 19089.354919 , error next = 19089.354813 , error change = 0.000105 , lambda = 0.200000 , time consumption = 0.463917s

unsuccessful step! iteration = 2783 , error before = 19089.354813 , error next = 19089.354946 , error change = -0.000133 , lambda = 2.000000 , time consumption = 0.474180s

successful step! iteration = 2784 , error before = 19089.354813 , error next = 19089.354709 , error change = 0.000104 , lambda = 0.200000 , time consumption = 0.472351s

unsuccessful step! iteration = 2785 , error before = 19089.354709 , error next = 19089.354840 , error change = -0.000131 , lambda = 2.000000 , time consumption = 0.469721s

successful step! iteration = 2786 , error before = 19089.354709 , error next = 19089.354607 , error change = 0.000103 , lambda = 0.200000 , time consumption = 0.470592s

unsuccessful step! iteration = 2787 , error before = 19089.354607 , error next = 19089.354736 , error change = -0.000130 , lambda = 2.000000 , time consumption = 0.469547s

successful step! iteration = 2788 , error before = 19089.354607 , error next = 19089.354505 , error change = 0.000102 , lambda = 0.200000 , time consumption = 0.474775s

unsuccessful step! iteration = 2789 , error before = 19089.354505 , error next = 19089.354633 , error change = -0.000128 , lambda = 2.000000 , time consumption = 0.473929s

successful step! iteration = 2790 , error before = 19089.354505 , error next = 19089.354405 , error change = 0.000100 , lambda = 0.200000 , time consumption = 0.472115s

unsuccessful step! iteration = 2791 , error before = 19089.354405 , error next = 19089.354531 , error change = -0.000126 , lambda = 2.000000 , time consumption = 0.484396s

successful step! iteration = 2792 , error before = 19089.354405 , error next = 19089.354306 , error change = 0.000099 , lambda = 0.200000 , time consumption = 0.469392s

unsuccessful step! iteration = 2793 , error before = 19089.354306 , error next = 19089.354430 , error change = -0.000125 , lambda = 2.000000 , time consumption = 0.468623s

successful step! iteration = 2794 , error before = 19089.354306 , error next = 19089.354208 , error change = 0.000098 , lambda = 0.200000 , time consumption = 0.467120s

unsuccessful step! iteration = 2795 , error before = 19089.354208 , error next = 19089.354331 , error change = -0.000123 , lambda = 2.000000 , time consumption = 0.470319s

successful step! iteration = 2796 , error before = 19089.354208 , error next = 19089.354111 , error change = 0.000097 , lambda = 0.200000 , time consumption = 0.467606s

unsuccessful step! iteration = 2797 , error before = 19089.354111 , error next = 19089.354233 , error change = -0.000122 , lambda = 2.000000 , time consumption = 0.469695s

successful step! iteration = 2798 , error before = 19089.354111 , error next = 19089.354015 , error change = 0.000096 , lambda = 0.200000 , time consumption = 0.471720s

unsuccessful step! iteration = 2799 , error before = 19089.354015 , error next = 19089.354136 , error change = -0.000120 , lambda = 2.000000 , time consumption = 0.467820s

successful step! iteration = 2800 , error before = 19089.354015 , error next = 19089.353921 , error change = 0.000094 , lambda = 0.200000 , time consumption = 0.469847s

unsuccessful step! iteration = 2801 , error before = 19089.353921 , error next = 19089.354040 , error change = -0.000119 , lambda = 2.000000 , time consumption = 0.469540s

successful step! iteration = 2802 , error before = 19089.353921 , error next = 19089.353828 , error change = 0.000093 , lambda = 0.200000 , time consumption = 0.469903s

unsuccessful step! iteration = 2803 , error before = 19089.353828 , error next = 19089.353945 , error change = -0.000118 , lambda = 2.000000 , time consumption = 0.486015s

successful step! iteration = 2804 , error before = 19089.353828 , error next = 19089.353735 , error change = 0.000092 , lambda = 0.200000 , time consumption = 0.466069s

unsuccessful step! iteration = 2805 , error before = 19089.353735 , error next = 19089.353852 , error change = -0.000116 , lambda = 2.000000 , time consumption = 0.473715s

successful step! iteration = 2806 , error before = 19089.353735 , error next = 19089.353644 , error change = 0.000091 , lambda = 0.200000 , time consumption = 0.475874s

unsuccessful step! iteration = 2807 , error before = 19089.353644 , error next = 19089.353759 , error change = -0.000115 , lambda = 2.000000 , time consumption = 0.481539s

successful step! iteration = 2808 , error before = 19089.353644 , error next = 19089.353554 , error change = 0.000090 , lambda = 0.200000 , time consumption = 0.454293s

unsuccessful step! iteration = 2809 , error before = 19089.353554 , error next = 19089.353668 , error change = -0.000113 , lambda = 2.000000 , time consumption = 0.454649s

successful step! iteration = 2810 , error before = 19089.353554 , error next = 19089.353465 , error change = 0.000089 , lambda = 0.200000 , time consumption = 0.457887s

unsuccessful step! iteration = 2811 , error before = 19089.353465 , error next = 19089.353577 , error change = -0.000112 , lambda = 2.000000 , time consumption = 0.458704s

successful step! iteration = 2812 , error before = 19089.353465 , error next = 19089.353378 , error change = 0.000088 , lambda = 0.200000 , time consumption = 0.458470s

unsuccessful step! iteration = 2813 , error before = 19089.353378 , error next = 19089.353488 , error change = -0.000111 , lambda = 2.000000 , time consumption = 0.460446s

successful step! iteration = 2814 , error before = 19089.353378 , error next = 19089.353291 , error change = 0.000087 , lambda = 0.200000 , time consumption = 0.476836s

unsuccessful step! iteration = 2815 , error before = 19089.353291 , error next = 19089.353400 , error change = -0.000109 , lambda = 2.000000 , time consumption = 0.457070s

successful step! iteration = 2816 , error before = 19089.353291 , error next = 19089.353205 , error change = 0.000086 , lambda = 0.200000 , time consumption = 0.452957s

unsuccessful step! iteration = 2817 , error before = 19089.353205 , error next = 19089.353313 , error change = -0.000108 , lambda = 2.000000 , time consumption = 0.468732s

successful step! iteration = 2818 , error before = 19089.353205 , error next = 19089.353120 , error change = 0.000085 , lambda = 0.200000 , time consumption = 0.474162s

unsuccessful step! iteration = 2819 , error before = 19089.353120 , error next = 19089.353227 , error change = -0.000107 , lambda = 2.000000 , time consumption = 0.461028s

successful step! iteration = 2820 , error before = 19089.353120 , error next = 19089.353037 , error change = 0.000084 , lambda = 0.200000 , time consumption = 0.464389s

unsuccessful step! iteration = 2821 , error before = 19089.353037 , error next = 19089.353142 , error change = -0.000106 , lambda = 2.000000 , time consumption = 0.458803s

successful step! iteration = 2822 , error before = 19089.353037 , error next = 19089.352954 , error change = 0.000083 , lambda = 0.200000 , time consumption = 0.460469s

unsuccessful step! iteration = 2823 , error before = 19089.352954 , error next = 19089.353058 , error change = -0.000104 , lambda = 2.000000 , time consumption = 0.462226s

successful step! iteration = 2824 , error before = 19089.352954 , error next = 19089.352872 , error change = 0.000082 , lambda = 0.200000 , time consumption = 0.464370s

unsuccessful step! iteration = 2825 , error before = 19089.352872 , error next = 19089.352975 , error change = -0.000103 , lambda = 2.000000 , time consumption = 0.458668s

successful step! iteration = 2826 , error before = 19089.352872 , error next = 19089.352791 , error change = 0.000081 , lambda = 0.200000 , time consumption = 0.463803s

unsuccessful step! iteration = 2827 , error before = 19089.352791 , error next = 19089.352893 , error change = -0.000102 , lambda = 2.000000 , time consumption = 0.471578s

successful step! iteration = 2828 , error before = 19089.352791 , error next = 19089.352712 , error change = 0.000080 , lambda = 0.200000 , time consumption = 0.463846s

unsuccessful step! iteration = 2829 , error before = 19089.352712 , error next = 19089.352812 , error change = -0.000101 , lambda = 2.000000 , time consumption = 0.468947s

successful step! iteration = 2830 , error before = 19089.352712 , error next = 19089.352633 , error change = 0.000079 , lambda = 0.200000 , time consumption = 0.465993s

unsuccessful step! iteration = 2831 , error before = 19089.352633 , error next = 19089.352732 , error change = -0.000099 , lambda = 2.000000 , time consumption = 0.464092s

successful step! iteration = 2832 , error before = 19089.352633 , error next = 19089.352555 , error change = 0.000078 , lambda = 0.200000 , time consumption = 0.462648s

unsuccessful step! iteration = 2833 , error before = 19089.352555 , error next = 19089.352653 , error change = -0.000098 , lambda = 2.000000 , time consumption = 0.473983s

successful step! iteration = 2834 , error before = 19089.352555 , error next = 19089.352478 , error change = 0.000077 , lambda = 0.200000 , time consumption = 0.462871s

unsuccessful step! iteration = 2835 , error before = 19089.352478 , error next = 19089.352575 , error change = -0.000097 , lambda = 2.000000 , time consumption = 0.465968s

successful step! iteration = 2836 , error before = 19089.352478 , error next = 19089.352402 , error change = 0.000076 , lambda = 0.200000 , time consumption = 0.463945s

unsuccessful step! iteration = 2837 , error before = 19089.352402 , error next = 19089.352498 , error change = -0.000096 , lambda = 2.000000 , time consumption = 0.461253s

successful step! iteration = 2838 , error before = 19089.352402 , error next = 19089.352327 , error change = 0.000075 , lambda = 0.200000 , time consumption = 0.484861s

unsuccessful step! iteration = 2839 , error before = 19089.352327 , error next = 19089.352422 , error change = -0.000095 , lambda = 2.000000 , time consumption = 0.480841s

successful step! iteration = 2840 , error before = 19089.352327 , error next = 19089.352253 , error change = 0.000074 , lambda = 0.200000 , time consumption = 0.482323s

unsuccessful step! iteration = 2841 , error before = 19089.352253 , error next = 19089.352346 , error change = -0.000094 , lambda = 2.000000 , time consumption = 0.465415s

successful step! iteration = 2842 , error before = 19089.352253 , error next = 19089.352180 , error change = 0.000073 , lambda = 0.200000 , time consumption = 0.466113s

unsuccessful step! iteration = 2843 , error before = 19089.352180 , error next = 19089.352272 , error change = -0.000092 , lambda = 2.000000 , time consumption = 0.485884s

successful step! iteration = 2844 , error before = 19089.352180 , error next = 19089.352107 , error change = 0.000072 , lambda = 0.200000 , time consumption = 0.465273s

unsuccessful step! iteration = 2845 , error before = 19089.352107 , error next = 19089.352198 , error change = -0.000091 , lambda = 2.000000 , time consumption = 0.470558s

successful step! iteration = 2846 , error before = 19089.352107 , error next = 19089.352036 , error change = 0.000072 , lambda = 0.200000 , time consumption = 0.469154s

unsuccessful step! iteration = 2847 , error before = 19089.352036 , error next = 19089.352126 , error change = -0.000090 , lambda = 2.000000 , time consumption = 0.467484s

successful step! iteration = 2848 , error before = 19089.352036 , error next = 19089.351965 , error change = 0.000071 , lambda = 0.200000 , time consumption = 0.471951s

unsuccessful step! iteration = 2849 , error before = 19089.351965 , error next = 19089.352054 , error change = -0.000089 , lambda = 2.000000 , time consumption = 0.470040s

successful step! iteration = 2850 , error before = 19089.351965 , error next = 19089.351895 , error change = 0.000070 , lambda = 0.200000 , time consumption = 0.468534s

unsuccessful step! iteration = 2851 , error before = 19089.351895 , error next = 19089.351983 , error change = -0.000088 , lambda = 2.000000 , time consumption = 0.466617s

successful step! iteration = 2852 , error before = 19089.351895 , error next = 19089.351826 , error change = 0.000069 , lambda = 0.200000 , time consumption = 0.465757s

unsuccessful step! iteration = 2853 , error before = 19089.351826 , error next = 19089.351913 , error change = -0.000087 , lambda = 2.000000 , time consumption = 0.477068s

successful step! iteration = 2854 , error before = 19089.351826 , error next = 19089.351758 , error change = 0.000068 , lambda = 0.200000 , time consumption = 0.465434s

unsuccessful step! iteration = 2855 , error before = 19089.351758 , error next = 19089.351844 , error change = -0.000086 , lambda = 2.000000 , time consumption = 0.468905s

successful step! iteration = 2856 , error before = 19089.351758 , error next = 19089.351691 , error change = 0.000067 , lambda = 0.200000 , time consumption = 0.467888s

unsuccessful step! iteration = 2857 , error before = 19089.351691 , error next = 19089.351775 , error change = -0.000085 , lambda = 2.000000 , time consumption = 0.468138s

successful step! iteration = 2858 , error before = 19089.351691 , error next = 19089.351624 , error change = 0.000067 , lambda = 0.200000 , time consumption = 0.466409s

unsuccessful step! iteration = 2859 , error before = 19089.351624 , error next = 19089.351708 , error change = -0.000084 , lambda = 2.000000 , time consumption = 0.469794s

successful step! iteration = 2860 , error before = 19089.351624 , error next = 19089.351558 , error change = 0.000066 , lambda = 0.200000 , time consumption = 0.478229s

unsuccessful step! iteration = 2861 , error before = 19089.351558 , error next = 19089.351641 , error change = -0.000083 , lambda = 2.000000 , time consumption = 0.468776s

successful step! iteration = 2862 , error before = 19089.351558 , error next = 19089.351493 , error change = 0.000065 , lambda = 0.200000 , time consumption = 0.466093s

unsuccessful step! iteration = 2863 , error before = 19089.351493 , error next = 19089.351575 , error change = -0.000082 , lambda = 2.000000 , time consumption = 0.469473s

successful step! iteration = 2864 , error before = 19089.351493 , error next = 19089.351429 , error change = 0.000064 , lambda = 0.200000 , time consumption = 0.471216s

unsuccessful step! iteration = 2865 , error before = 19089.351429 , error next = 19089.351510 , error change = -0.000081 , lambda = 2.000000 , time consumption = 0.478990s

successful step! iteration = 2866 , error before = 19089.351429 , error next = 19089.351366 , error change = 0.000063 , lambda = 0.200000 , time consumption = 0.493413s

unsuccessful step! iteration = 2867 , error before = 19089.351366 , error next = 19089.351446 , error change = -0.000080 , lambda = 2.000000 , time consumption = 0.472974s

successful step! iteration = 2868 , error before = 19089.351366 , error next = 19089.351303 , error change = 0.000063 , lambda = 0.200000 , time consumption = 0.468848s

unsuccessful step! iteration = 2869 , error before = 19089.351303 , error next = 19089.351382 , error change = -0.000079 , lambda = 2.000000 , time consumption = 0.470654s

successful step! iteration = 2870 , error before = 19089.351303 , error next = 19089.351241 , error change = 0.000062 , lambda = 0.200000 , time consumption = 0.496425s

unsuccessful step! iteration = 2871 , error before = 19089.351241 , error next = 19089.351319 , error change = -0.000078 , lambda = 2.000000 , time consumption = 0.484513s

successful step! iteration = 2872 , error before = 19089.351241 , error next = 19089.351180 , error change = 0.000061 , lambda = 0.200000 , time consumption = 0.465304s

unsuccessful step! iteration = 2873 , error before = 19089.351180 , error next = 19089.351257 , error change = -0.000077 , lambda = 2.000000 , time consumption = 0.461241s

successful step! iteration = 2874 , error before = 19089.351180 , error next = 19089.351120 , error change = 0.000060 , lambda = 0.200000 , time consumption = 0.497436s

unsuccessful step! iteration = 2875 , error before = 19089.351120 , error next = 19089.351196 , error change = -0.000076 , lambda = 2.000000 , time consumption = 0.462501s

successful step! iteration = 2876 , error before = 19089.351120 , error next = 19089.351060 , error change = 0.000060 , lambda = 0.200000 , time consumption = 0.464528s

unsuccessful step! iteration = 2877 , error before = 19089.351060 , error next = 19089.351135 , error change = -0.000075 , lambda = 2.000000 , time consumption = 0.486272s

successful step! iteration = 2878 , error before = 19089.351060 , error next = 19089.351001 , error change = 0.000059 , lambda = 0.200000 , time consumption = 0.489956s

unsuccessful step! iteration = 2879 , error before = 19089.351001 , error next = 19089.351075 , error change = -0.000074 , lambda = 2.000000 , time consumption = 0.461093s

successful step! iteration = 2880 , error before = 19089.351001 , error next = 19089.350943 , error change = 0.000058 , lambda = 0.200000 , time consumption = 0.498506s

unsuccessful step! iteration = 2881 , error before = 19089.350943 , error next = 19089.351016 , error change = -0.000073 , lambda = 2.000000 , time consumption = 0.469329s

successful step! iteration = 2882 , error before = 19089.350943 , error next = 19089.350885 , error change = 0.000058 , lambda = 0.200000 , time consumption = 0.483661s

unsuccessful step! iteration = 2883 , error before = 19089.350885 , error next = 19089.350958 , error change = -0.000073 , lambda = 2.000000 , time consumption = 0.463376s

successful step! iteration = 2884 , error before = 19089.350885 , error next = 19089.350828 , error change = 0.000057 , lambda = 0.200000 , time consumption = 0.469556s

unsuccessful step! iteration = 2885 , error before = 19089.350828 , error next = 19089.350900 , error change = -0.000072 , lambda = 2.000000 , time consumption = 0.471336s

successful step! iteration = 2886 , error before = 19089.350828 , error next = 19089.350772 , error change = 0.000056 , lambda = 0.200000 , time consumption = 0.461254s

unsuccessful step! iteration = 2887 , error before = 19089.350772 , error next = 19089.350843 , error change = -0.000071 , lambda = 2.000000 , time consumption = 0.463945s

successful step! iteration = 2888 , error before = 19089.350772 , error next = 19089.350716 , error change = 0.000056 , lambda = 0.200000 , time consumption = 0.456385s

unsuccessful step! iteration = 2889 , error before = 19089.350716 , error next = 19089.350786 , error change = -0.000070 , lambda = 2.000000 , time consumption = 0.465552s

successful step! iteration = 2890 , error before = 19089.350716 , error next = 19089.350662 , error change = 0.000055 , lambda = 0.200000 , time consumption = 0.454902s

unsuccessful step! iteration = 2891 , error before = 19089.350662 , error next = 19089.350731 , error change = -0.000069 , lambda = 2.000000 , time consumption = 0.455414s

successful step! iteration = 2892 , error before = 19089.350662 , error next = 19089.350607 , error change = 0.000054 , lambda = 0.200000 , time consumption = 0.463732s

unsuccessful step! iteration = 2893 , error before = 19089.350607 , error next = 19089.350676 , error change = -0.000068 , lambda = 2.000000 , time consumption = 0.455557s

successful step! iteration = 2894 , error before = 19089.350607 , error next = 19089.350554 , error change = 0.000054 , lambda = 0.200000 , time consumption = 0.460192s

unsuccessful step! iteration = 2895 , error before = 19089.350554 , error next = 19089.350621 , error change = -0.000067 , lambda = 2.000000 , time consumption = 0.456775s

successful step! iteration = 2896 , error before = 19089.350554 , error next = 19089.350501 , error change = 0.000053 , lambda = 0.200000 , time consumption = 0.454772s

unsuccessful step! iteration = 2897 , error before = 19089.350501 , error next = 19089.350568 , error change = -0.000067 , lambda = 2.000000 , time consumption = 0.459822s

successful step! iteration = 2898 , error before = 19089.350501 , error next = 19089.350449 , error change = 0.000052 , lambda = 0.200000 , time consumption = 0.465847s

unsuccessful step! iteration = 2899 , error before = 19089.350449 , error next = 19089.350515 , error change = -0.000066 , lambda = 2.000000 , time consumption = 0.455319s

successful step! iteration = 2900 , error before = 19089.350449 , error next = 19089.350397 , error change = 0.000052 , lambda = 0.200000 , time consumption = 0.453102s

unsuccessful step! iteration = 2901 , error before = 19089.350397 , error next = 19089.350462 , error change = -0.000065 , lambda = 2.000000 , time consumption = 0.454078s

successful step! iteration = 2902 , error before = 19089.350397 , error next = 19089.350346 , error change = 0.000051 , lambda = 0.200000 , time consumption = 0.471513s

unsuccessful step! iteration = 2903 , error before = 19089.350346 , error next = 19089.350410 , error change = -0.000064 , lambda = 2.000000 , time consumption = 0.468887s

successful step! iteration = 2904 , error before = 19089.350346 , error next = 19089.350296 , error change = 0.000050 , lambda = 0.200000 , time consumption = 0.468239s

unsuccessful step! iteration = 2905 , error before = 19089.350296 , error next = 19089.350359 , error change = -0.000064 , lambda = 2.000000 , time consumption = 0.469760s

successful step! iteration = 2906 , error before = 19089.350296 , error next = 19089.350246 , error change = 0.000050 , lambda = 0.200000 , time consumption = 0.479439s

unsuccessful step! iteration = 2907 , error before = 19089.350246 , error next = 19089.350309 , error change = -0.000063 , lambda = 2.000000 , time consumption = 0.465303s

successful step! iteration = 2908 , error before = 19089.350246 , error next = 19089.350197 , error change = 0.000049 , lambda = 0.200000 , time consumption = 0.473039s

unsuccessful step! iteration = 2909 , error before = 19089.350197 , error next = 19089.350259 , error change = -0.000062 , lambda = 2.000000 , time consumption = 0.464164s

successful step! iteration = 2910 , error before = 19089.350197 , error next = 19089.350148 , error change = 0.000049 , lambda = 0.200000 , time consumption = 0.486854s

unsuccessful step! iteration = 2911 , error before = 19089.350148 , error next = 19089.350209 , error change = -0.000061 , lambda = 2.000000 , time consumption = 0.467558s

successful step! iteration = 2912 , error before = 19089.350148 , error next = 19089.350100 , error change = 0.000048 , lambda = 0.200000 , time consumption = 0.480328s

unsuccessful step! iteration = 2913 , error before = 19089.350100 , error next = 19089.350160 , error change = -0.000061 , lambda = 2.000000 , time consumption = 0.475443s

successful step! iteration = 2914 , error before = 19089.350100 , error next = 19089.350052 , error change = 0.000047 , lambda = 0.200000 , time consumption = 0.469696s

unsuccessful step! iteration = 2915 , error before = 19089.350052 , error next = 19089.350112 , error change = -0.000060 , lambda = 2.000000 , time consumption = 0.478762s

successful step! iteration = 2916 , error before = 19089.350052 , error next = 19089.350006 , error change = 0.000047 , lambda = 0.200000 , time consumption = 0.483875s

unsuccessful step! iteration = 2917 , error before = 19089.350006 , error next = 19089.350065 , error change = -0.000059 , lambda = 2.000000 , time consumption = 0.468333s

successful step! iteration = 2918 , error before = 19089.350006 , error next = 19089.349959 , error change = 0.000046 , lambda = 0.200000 , time consumption = 0.484929s

unsuccessful step! iteration = 2919 , error before = 19089.349959 , error next = 19089.350018 , error change = -0.000058 , lambda = 2.000000 , time consumption = 0.477715s

successful step! iteration = 2920 , error before = 19089.349959 , error next = 19089.349913 , error change = 0.000046 , lambda = 0.200000 , time consumption = 0.467655s

unsuccessful step! iteration = 2921 , error before = 19089.349913 , error next = 19089.349971 , error change = -0.000058 , lambda = 2.000000 , time consumption = 0.466315s

successful step! iteration = 2922 , error before = 19089.349913 , error next = 19089.349868 , error change = 0.000045 , lambda = 0.200000 , time consumption = 0.467350s

unsuccessful step! iteration = 2923 , error before = 19089.349868 , error next = 19089.349925 , error change = -0.000057 , lambda = 2.000000 , time consumption = 0.474507s

successful step! iteration = 2924 , error before = 19089.349868 , error next = 19089.349824 , error change = 0.000045 , lambda = 0.200000 , time consumption = 0.463623s

unsuccessful step! iteration = 2925 , error before = 19089.349824 , error next = 19089.349880 , error change = -0.000056 , lambda = 2.000000 , time consumption = 0.463709s

successful step! iteration = 2926 , error before = 19089.349824 , error next = 19089.349779 , error change = 0.000044 , lambda = 0.200000 , time consumption = 0.458117s

unsuccessful step! iteration = 2927 , error before = 19089.349779 , error next = 19089.349835 , error change = -0.000056 , lambda = 2.000000 , time consumption = 0.461359s

successful step! iteration = 2928 , error before = 19089.349779 , error next = 19089.349736 , error change = 0.000044 , lambda = 0.200000 , time consumption = 0.459561s

unsuccessful step! iteration = 2929 , error before = 19089.349736 , error next = 19089.349791 , error change = -0.000055 , lambda = 2.000000 , time consumption = 0.459428s

successful step! iteration = 2930 , error before = 19089.349736 , error next = 19089.349693 , error change = 0.000043 , lambda = 0.200000 , time consumption = 0.488182s

unsuccessful step! iteration = 2931 , error before = 19089.349693 , error next = 19089.349747 , error change = -0.000054 , lambda = 2.000000 , time consumption = 0.460428s

successful step! iteration = 2932 , error before = 19089.349693 , error next = 19089.349650 , error change = 0.000043 , lambda = 0.200000 , time consumption = 0.470904s

unsuccessful step! iteration = 2933 , error before = 19089.349650 , error next = 19089.349704 , error change = -0.000054 , lambda = 2.000000 , time consumption = 0.500879s

successful step! iteration = 2934 , error before = 19089.349650 , error next = 19089.349608 , error change = 0.000042 , lambda = 0.200000 , time consumption = 0.474093s

