number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL

successful step! iteration = 352 , error before = 35575.134456 , error next = 35397.296669 , error change = 177.837786 , lambda = 0.200000 , time consumption = 0.472907s

unsuccessful step! iteration = 353 , error before = 35397.296669 , error next = 35621.306688 , error change = -224.010018 , lambda = 2.000000 , time consumption = 0.457033s

successful step! iteration = 354 , error before = 35397.296669 , error next = 35221.277998 , error change = 176.018671 , lambda = 0.200000 , time consumption = 0.465524s

unsuccessful step! iteration = 355 , error before = 35221.277998 , error next = 35442.997409 , error change = -221.719411 , lambda = 2.000000 , time consumption = 0.454218s

successful step! iteration = 356 , error before = 35221.277998 , error next = 35047.061352 , error change = 174.216646 , lambda = 0.200000 , time consumption = 0.457505s

unsuccessful step! iteration = 357 , error before = 35047.061352 , error next = 35266.511661 , error change = -219.450309 , lambda = 2.000000 , time consumption = 0.454313s

successful step! iteration = 358 , error before = 35047.061352 , error next = 34874.629782 , error change = 172.431571 , lambda = 0.200000 , time consumption = 0.467647s

unsuccessful step! iteration = 359 , error before = 34874.629782 , error next = 35091.832321 , error change = -217.202539 , lambda = 2.000000 , time consumption = 0.462382s

successful step! iteration = 360 , error before = 34874.629782 , error next = 34703.966473 , error change = 170.663309 , lambda = 0.200000 , time consumption = 0.464004s

unsuccessful step! iteration = 361 , error before = 34703.966473 , error next = 34918.942401 , error change = -214.975928 , lambda = 2.000000 , time consumption = 0.460261s

successful step! iteration = 362 , error before = 34703.966473 , error next = 34535.054750 , error change = 168.911723 , lambda = 0.200000 , time consumption = 0.460857s

unsuccessful step! iteration = 363 , error before = 34535.054750 , error next = 34747.825054 , error change = -212.770304 , lambda = 2.000000 , time consumption = 0.464122s

successful step! iteration = 364 , error before = 34535.054750 , error next = 34367.878072 , error change = 167.176678 , lambda = 0.200000 , time consumption = 0.484456s

unsuccessful step! iteration = 365 , error before = 34367.878072 , error next = 34578.463568 , error change = -210.585496 , lambda = 2.000000 , time consumption = 0.461294s

successful step! iteration = 366 , error before = 34367.878072 , error next = 34202.420035 , error change = 165.458038 , lambda = 0.200000 , time consumption = 0.461713s

unsuccessful step! iteration = 367 , error before = 34202.420035 , error next = 34410.841369 , error change = -208.421334 , lambda = 2.000000 , time consumption = 0.461105s

successful step! iteration = 368 , error before = 34202.420035 , error next = 34038.664366 , error change = 163.755668 , lambda = 0.200000 , time consumption = 0.468710s

unsuccessful step! iteration = 369 , error before = 34038.664366 , error next = 34244.942016 , error change = -206.277649 , lambda = 2.000000 , time consumption = 0.462165s

successful step! iteration = 370 , error before = 34038.664366 , error next = 33876.594930 , error change = 162.069436 , lambda = 0.200000 , time consumption = 0.483596s

unsuccessful step! iteration = 371 , error before = 33876.594930 , error next = 34080.749204 , error change = -204.154274 , lambda = 2.000000 , time consumption = 0.465561s

successful step! iteration = 372 , error before = 33876.594930 , error next = 33716.195721 , error change = 160.399209 , lambda = 0.200000 , time consumption = 0.471299s

unsuccessful step! iteration = 373 , error before = 33716.195721 , error next = 33918.246762 , error change = -202.051042 , lambda = 2.000000 , time consumption = 0.464012s

successful step! iteration = 374 , error before = 33716.195721 , error next = 33557.450865 , error change = 158.744855 , lambda = 0.200000 , time consumption = 0.462930s

unsuccessful step! iteration = 375 , error before = 33557.450865 , error next = 33757.418651 , error change = -199.967786 , lambda = 2.000000 , time consumption = 0.464060s

successful step! iteration = 376 , error before = 33557.450865 , error next = 33400.344623 , error change = 157.106243 , lambda = 0.200000 , time consumption = 0.478742s

unsuccessful step! iteration = 377 , error before = 33400.344623 , error next = 33598.248965 , error change = -197.904342 , lambda = 2.000000 , time consumption = 0.465562s

successful step! iteration = 378 , error before = 33400.344623 , error next = 33244.861381 , error change = 155.483242 , lambda = 0.200000 , time consumption = 0.478927s

unsuccessful step! iteration = 379 , error before = 33244.861381 , error next = 33440.721928 , error change = -195.860547 , lambda = 2.000000 , time consumption = 0.463042s

successful step! iteration = 380 , error before = 33244.861381 , error next = 33090.985657 , error change = 153.875724 , lambda = 0.200000 , time consumption = 0.477161s

unsuccessful step! iteration = 381 , error before = 33090.985657 , error next = 33284.821895 , error change = -193.836238 , lambda = 2.000000 , time consumption = 0.468579s

successful step! iteration = 382 , error before = 33090.985657 , error next = 32938.702098 , error change = 152.283559 , lambda = 0.200000 , time consumption = 0.473247s

unsuccessful step! iteration = 383 , error before = 32938.702098 , error next = 33130.533351 , error change = -191.831252 , lambda = 2.000000 , time consumption = 0.469931s

successful step! iteration = 384 , error before = 32938.702098 , error next = 32787.995479 , error change = 150.706620 , lambda = 0.200000 , time consumption = 0.475202s

unsuccessful step! iteration = 385 , error before = 32787.995479 , error next = 32977.840909 , error change = -189.845430 , lambda = 2.000000 , time consumption = 0.476735s

successful step! iteration = 386 , error before = 32787.995479 , error next = 32638.850699 , error change = 149.144780 , lambda = 0.200000 , time consumption = 0.470127s

unsuccessful step! iteration = 387 , error before = 32638.850699 , error next = 32826.729311 , error change = -187.878612 , lambda = 2.000000 , time consumption = 0.467617s

successful step! iteration = 388 , error before = 32638.850699 , error next = 32491.252787 , error change = 147.597912 , lambda = 0.200000 , time consumption = 0.477230s

unsuccessful step! iteration = 389 , error before = 32491.252787 , error next = 32677.183426 , error change = -185.930638 , lambda = 2.000000 , time consumption = 0.468254s

successful step! iteration = 390 , error before = 32491.252787 , error next = 32345.186895 , error change = 146.065892 , lambda = 0.200000 , time consumption = 0.470383s

unsuccessful step! iteration = 391 , error before = 32345.186895 , error next = 32529.188248 , error change = -184.001352 , lambda = 2.000000 , time consumption = 0.471514s

successful step! iteration = 392 , error before = 32345.186895 , error next = 32200.638301 , error change = 144.548594 , lambda = 0.200000 , time consumption = 0.465130s

unsuccessful step! iteration = 393 , error before = 32200.638301 , error next = 32382.728898 , error change = -182.090597 , lambda = 2.000000 , time consumption = 0.468371s

successful step! iteration = 394 , error before = 32200.638301 , error next = 32057.592405 , error change = 143.045895 , lambda = 0.200000 , time consumption = 0.471843s

unsuccessful step! iteration = 395 , error before = 32057.592405 , error next = 32237.790622 , error change = -180.198216 , lambda = 2.000000 , time consumption = 0.475999s

successful step! iteration = 396 , error before = 32057.592405 , error next = 31916.034733 , error change = 141.557672 , lambda = 0.200000 , time consumption = 0.467233s

unsuccessful step! iteration = 397 , error before = 31916.034733 , error next = 32094.358789 , error change = -178.324056 , lambda = 2.000000 , time consumption = 0.468909s

successful step! iteration = 398 , error before = 31916.034733 , error next = 31775.950930 , error change = 140.083803 , lambda = 0.200000 , time consumption = 0.475839s

unsuccessful step! iteration = 399 , error before = 31775.950930 , error next = 31952.418892 , error change = -176.467962 , lambda = 2.000000 , time consumption = 0.464413s

successful step! iteration = 400 , error before = 31775.950930 , error next = 31637.326764 , error change = 138.624166 , lambda = 0.200000 , time consumption = 0.470844s

unsuccessful step! iteration = 401 , error before = 31637.326764 , error next = 31811.956546 , error change = -174.629782 , lambda = 2.000000 , time consumption = 0.467565s

successful step! iteration = 402 , error before = 31637.326764 , error next = 31500.148124 , error change = 137.178640 , lambda = 0.200000 , time consumption = 0.469173s

unsuccessful step! iteration = 403 , error before = 31500.148124 , error next = 31672.957488 , error change = -172.809364 , lambda = 2.000000 , time consumption = 0.483293s

successful step! iteration = 404 , error before = 31500.148124 , error next = 31364.401018 , error change = 135.747106 , lambda = 0.200000 , time consumption = 0.472051s

unsuccessful step! iteration = 405 , error before = 31364.401018 , error next = 31535.407576 , error change = -171.006558 , lambda = 2.000000 , time consumption = 0.478145s

successful step! iteration = 406 , error before = 31364.401018 , error next = 31230.071574 , error change = 134.329444 , lambda = 0.200000 , time consumption = 0.455229s

unsuccessful step! iteration = 407 , error before = 31230.071574 , error next = 31399.292786 , error change = -169.221213 , lambda = 2.000000 , time consumption = 0.458232s

successful step! iteration = 408 , error before = 31230.071574 , error next = 31097.146037 , error change = 132.925537 , lambda = 0.200000 , time consumption = 0.469937s

unsuccessful step! iteration = 409 , error before = 31097.146037 , error next = 31264.599217 , error change = -167.453181 , lambda = 2.000000 , time consumption = 0.463045s

successful step! iteration = 410 , error before = 31097.146037 , error next = 30965.610771 , error change = 131.535266 , lambda = 0.200000 , time consumption = 0.468204s

unsuccessful step! iteration = 411 , error before = 30965.610771 , error next = 31131.313084 , error change = -165.702314 , lambda = 2.000000 , time consumption = 0.463163s

successful step! iteration = 412 , error before = 30965.610771 , error next = 30835.452256 , error change = 130.158515 , lambda = 0.200000 , time consumption = 0.468133s

unsuccessful step! iteration = 413 , error before = 30835.452256 , error next = 30999.420720 , error change = -163.968465 , lambda = 2.000000 , time consumption = 0.461636s

successful step! iteration = 414 , error before = 30835.452256 , error next = 30706.657087 , error change = 128.795168 , lambda = 0.200000 , time consumption = 0.462719s

unsuccessful step! iteration = 415 , error before = 30706.657087 , error next = 30868.908575 , error change = -162.251488 , lambda = 2.000000 , time consumption = 0.462519s

successful step! iteration = 416 , error before = 30706.657087 , error next = 30579.211978 , error change = 127.445110 , lambda = 0.200000 , time consumption = 0.464120s

unsuccessful step! iteration = 417 , error before = 30579.211978 , error next = 30739.763216 , error change = -160.551239 , lambda = 2.000000 , time consumption = 0.468022s

successful step! iteration = 418 , error before = 30579.211978 , error next = 30453.103752 , error change = 126.108226 , lambda = 0.200000 , time consumption = 0.469392s

unsuccessful step! iteration = 419 , error before = 30453.103752 , error next = 30611.971325 , error change = -158.867573 , lambda = 2.000000 , time consumption = 0.458863s

successful step! iteration = 420 , error before = 30453.103752 , error next = 30328.319350 , error change = 124.784402 , lambda = 0.200000 , time consumption = 0.469402s

unsuccessful step! iteration = 421 , error before = 30328.319350 , error next = 30485.519697 , error change = -157.200347 , lambda = 2.000000 , time consumption = 0.459893s

successful step! iteration = 422 , error before = 30328.319350 , error next = 30204.845824 , error change = 123.473526 , lambda = 0.200000 , time consumption = 0.467695s

unsuccessful step! iteration = 423 , error before = 30204.845824 , error next = 30360.395244 , error change = -155.549420 , lambda = 2.000000 , time consumption = 0.461521s

successful step! iteration = 424 , error before = 30204.845824 , error next = 30082.670338 , error change = 122.175486 , lambda = 0.200000 , time consumption = 0.463013s

unsuccessful step! iteration = 425 , error before = 30082.670338 , error next = 30236.584989 , error change = -153.914651 , lambda = 2.000000 , time consumption = 0.474733s

successful step! iteration = 426 , error before = 30082.670338 , error next = 29961.780169 , error change = 120.890169 , lambda = 0.200000 , time consumption = 0.471762s

unsuccessful step! iteration = 427 , error before = 29961.780169 , error next = 30114.076067 , error change = -152.295898 , lambda = 2.000000 , time consumption = 0.469390s

successful step! iteration = 428 , error before = 29961.780169 , error next = 29842.162703 , error change = 119.617466 , lambda = 0.200000 , time consumption = 0.463227s

unsuccessful step! iteration = 429 , error before = 29842.162703 , error next = 29992.855727 , error change = -150.693024 , lambda = 2.000000 , time consumption = 0.465430s

successful step! iteration = 430 , error before = 29842.162703 , error next = 29723.805437 , error change = 118.357266 , lambda = 0.200000 , time consumption = 0.465635s

unsuccessful step! iteration = 431 , error before = 29723.805437 , error next = 29872.911326 , error change = -149.105889 , lambda = 2.000000 , time consumption = 0.470750s

successful step! iteration = 432 , error before = 29723.805437 , error next = 29606.695975 , error change = 117.109461 , lambda = 0.200000 , time consumption = 0.465131s

unsuccessful step! iteration = 433 , error before = 29606.695975 , error next = 29754.230333 , error change = -147.534358 , lambda = 2.000000 , time consumption = 0.469452s

successful step! iteration = 434 , error before = 29606.695975 , error next = 29490.822033 , error change = 115.873942 , lambda = 0.200000 , time consumption = 0.465216s

unsuccessful step! iteration = 435 , error before = 29490.822033 , error next = 29636.800325 , error change = -145.978292 , lambda = 2.000000 , time consumption = 0.477286s

successful step! iteration = 436 , error before = 29490.822033 , error next = 29376.171432 , error change = 114.650601 , lambda = 0.200000 , time consumption = 0.475620s

unsuccessful step! iteration = 437 , error before = 29376.171432 , error next = 29520.608990 , error change = -144.437557 , lambda = 2.000000 , time consumption = 0.465681s

successful step! iteration = 438 , error before = 29376.171432 , error next = 29262.732100 , error change = 113.439332 , lambda = 0.200000 , time consumption = 0.472250s

unsuccessful step! iteration = 439 , error before = 29262.732100 , error next = 29405.644120 , error change = -142.912019 , lambda = 2.000000 , time consumption = 0.484425s

successful step! iteration = 440 , error before = 29262.732100 , error next = 29150.492073 , error change = 112.240028 , lambda = 0.200000 , time consumption = 0.464126s

unsuccessful step! iteration = 441 , error before = 29150.492073 , error next = 29291.893617 , error change = -141.401544 , lambda = 2.000000 , time consumption = 0.470901s

successful step! iteration = 442 , error before = 29150.492073 , error next = 29039.439489 , error change = 111.052583 , lambda = 0.200000 , time consumption = 0.494952s

unsuccessful step! iteration = 443 , error before = 29039.439489 , error next = 29179.345488 , error change = -139.905999 , lambda = 2.000000 , time consumption = 0.473651s

successful step! iteration = 444 , error before = 29039.439489 , error next = 28929.562595 , error change = 109.876895 , lambda = 0.200000 , time consumption = 0.467754s

unsuccessful step! iteration = 445 , error before = 28929.562595 , error next = 29067.987847 , error change = -138.425253 , lambda = 2.000000 , time consumption = 0.466210s

successful step! iteration = 446 , error before = 28929.562595 , error next = 28820.849738 , error change = 108.712857 , lambda = 0.200000 , time consumption = 0.465775s

unsuccessful step! iteration = 447 , error before = 28820.849738 , error next = 28957.808912 , error change = -136.959174 , lambda = 2.000000 , time consumption = 0.466814s

successful step! iteration = 448 , error before = 28820.849738 , error next = 28713.289371 , error change = 107.560367 , lambda = 0.200000 , time consumption = 0.459998s

unsuccessful step! iteration = 449 , error before = 28713.289371 , error next = 28848.797005 , error change = -135.507634 , lambda = 2.000000 , time consumption = 0.458654s

successful step! iteration = 450 , error before = 28713.289371 , error next = 28606.870047 , error change = 106.419323 , lambda = 0.200000 , time consumption = 0.459072s

unsuccessful step! iteration = 451 , error before = 28606.870047 , error next = 28740.940550 , error change = -134.070503 , lambda = 2.000000 , time consumption = 0.461487s

successful step! iteration = 452 , error before = 28606.870047 , error next = 28501.580424 , error change = 105.289623 , lambda = 0.200000 , time consumption = 0.464192s

unsuccessful step! iteration = 453 , error before = 28501.580424 , error next = 28634.228077 , error change = -132.647653 , lambda = 2.000000 , time consumption = 0.461207s

successful step! iteration = 454 , error before = 28501.580424 , error next = 28397.409258 , error change = 104.171166 , lambda = 0.200000 , time consumption = 0.460915s

unsuccessful step! iteration = 455 , error before = 28397.409258 , error next = 28528.648215 , error change = -131.238958 , lambda = 2.000000 , time consumption = 0.460935s

successful step! iteration = 456 , error before = 28397.409258 , error next = 28294.345406 , error change = 103.063852 , lambda = 0.200000 , time consumption = 0.463497s

unsuccessful step! iteration = 457 , error before = 28294.345406 , error next = 28424.189696 , error change = -129.844290 , lambda = 2.000000 , time consumption = 0.476142s

successful step! iteration = 458 , error before = 28294.345406 , error next = 28192.377826 , error change = 101.967580 , lambda = 0.200000 , time consumption = 0.472369s

unsuccessful step! iteration = 459 , error before = 28192.377826 , error next = 28320.841351 , error change = -128.463525 , lambda = 2.000000 , time consumption = 0.472687s

successful step! iteration = 460 , error before = 28192.377826 , error next = 28091.495573 , error change = 100.882253 , lambda = 0.200000 , time consumption = 0.468141s

unsuccessful step! iteration = 461 , error before = 28091.495573 , error next = 28218.592112 , error change = -127.096539 , lambda = 2.000000 , time consumption = 0.478308s

successful step! iteration = 462 , error before = 28091.495573 , error next = 27991.687802 , error change = 99.807771 , lambda = 0.200000 , time consumption = 0.465045s

unsuccessful step! iteration = 463 , error before = 27991.687802 , error next = 28117.431009 , error change = -125.743208 , lambda = 2.000000 , time consumption = 0.465725s

successful step! iteration = 464 , error before = 27991.687802 , error next = 27892.943763 , error change = 98.744039 , lambda = 0.200000 , time consumption = 0.484501s

unsuccessful step! iteration = 465 , error before = 27892.943763 , error next = 28017.347171 , error change = -124.403409 , lambda = 2.000000 , time consumption = 0.470895s

successful step! iteration = 466 , error before = 27892.943763 , error next = 27795.252805 , error change = 97.690958 , lambda = 0.200000 , time consumption = 0.477165s

unsuccessful step! iteration = 467 , error before = 27795.252805 , error next = 27918.329825 , error change = -123.077020 , lambda = 2.000000 , time consumption = 0.469237s

successful step! iteration = 468 , error before = 27795.252805 , error next = 27698.604372 , error change = 96.648433 , lambda = 0.200000 , time consumption = 0.468393s

unsuccessful step! iteration = 469 , error before = 27698.604372 , error next = 27820.368294 , error change = -121.763922 , lambda = 2.000000 , time consumption = 0.481006s

successful step! iteration = 470 , error before = 27698.604372 , error next = 27602.988003 , error change = 95.616369 , lambda = 0.200000 , time consumption = 0.461193s

unsuccessful step! iteration = 471 , error before = 27602.988003 , error next = 27723.451997 , error change = -120.463994 , lambda = 2.000000 , time consumption = 0.464050s

successful step! iteration = 472 , error before = 27602.988003 , error next = 27508.393332 , error change = 94.594671 , lambda = 0.200000 , time consumption = 0.463248s

unsuccessful step! iteration = 473 , error before = 27508.393332 , error next = 27627.570449 , error change = -119.177116 , lambda = 2.000000 , time consumption = 0.465926s

successful step! iteration = 474 , error before = 27508.393332 , error next = 27414.810088 , error change = 93.583244 , lambda = 0.200000 , time consumption = 0.461637s

unsuccessful step! iteration = 475 , error before = 27414.810088 , error next = 27532.713260 , error change = -117.903172 , lambda = 2.000000 , time consumption = 0.469970s

successful step! iteration = 476 , error before = 27414.810088 , error next = 27322.228091 , error change = 92.581997 , lambda = 0.200000 , time consumption = 0.461619s

unsuccessful step! iteration = 477 , error before = 27322.228091 , error next = 27438.870134 , error change = -116.642043 , lambda = 2.000000 , time consumption = 0.460469s

successful step! iteration = 478 , error before = 27322.228091 , error next = 27230.637255 , error change = 91.590836 , lambda = 0.200000 , time consumption = 0.463202s

unsuccessful step! iteration = 479 , error before = 27230.637255 , error next = 27346.030869 , error change = -115.393614 , lambda = 2.000000 , time consumption = 0.458493s

successful step! iteration = 480 , error before = 27230.637255 , error next = 27140.027585 , error change = 90.609670 , lambda = 0.200000 , time consumption = 0.462154s

unsuccessful step! iteration = 481 , error before = 27140.027585 , error next = 27254.185353 , error change = -114.157768 , lambda = 2.000000 , time consumption = 0.462356s

successful step! iteration = 482 , error before = 27140.027585 , error next = 27050.389178 , error change = 89.638407 , lambda = 0.200000 , time consumption = 0.461708s

unsuccessful step! iteration = 483 , error before = 27050.389178 , error next = 27163.323570 , error change = -112.934392 , lambda = 2.000000 , time consumption = 0.460267s

successful step! iteration = 484 , error before = 27050.389178 , error next = 26961.712221 , error change = 88.676957 , lambda = 0.200000 , time consumption = 0.462673s

unsuccessful step! iteration = 485 , error before = 26961.712221 , error next = 27073.435591 , error change = -111.723370 , lambda = 2.000000 , time consumption = 0.459275s

successful step! iteration = 486 , error before = 26961.712221 , error next = 26873.986991 , error change = 87.725230 , lambda = 0.200000 , time consumption = 0.458563s

unsuccessful step! iteration = 487 , error before = 26873.986991 , error next = 26984.511582 , error change = -110.524591 , lambda = 2.000000 , time consumption = 0.458470s

successful step! iteration = 488 , error before = 26873.986991 , error next = 26787.203853 , error change = 86.783138 , lambda = 0.200000 , time consumption = 0.462315s

unsuccessful step! iteration = 489 , error before = 26787.203853 , error next = 26896.541795 , error change = -109.337942 , lambda = 2.000000 , time consumption = 0.463152s

successful step! iteration = 490 , error before = 26787.203853 , error next = 26701.353263 , error change = 85.850591 , lambda = 0.200000 , time consumption = 0.461572s

unsuccessful step! iteration = 491 , error before = 26701.353263 , error next = 26809.516575 , error change = -108.163312 , lambda = 2.000000 , time consumption = 0.459490s

successful step! iteration = 492 , error before = 26701.353263 , error next = 26616.425761 , error change = 84.927502 , lambda = 0.200000 , time consumption = 0.460213s

unsuccessful step! iteration = 493 , error before = 26616.425761 , error next = 26723.426352 , error change = -107.000591 , lambda = 2.000000 , time consumption = 0.460441s

successful step! iteration = 494 , error before = 26616.425761 , error next = 26532.411977 , error change = 84.013784 , lambda = 0.200000 , time consumption = 0.458233s

unsuccessful step! iteration = 495 , error before = 26532.411977 , error next = 26638.261645 , error change = -105.849668 , lambda = 2.000000 , time consumption = 0.458354s

successful step! iteration = 496 , error before = 26532.411977 , error next = 26449.302627 , error change = 83.109350 , lambda = 0.200000 , time consumption = 0.460709s

unsuccessful step! iteration = 497 , error before = 26449.302627 , error next = 26554.013063 , error change = -104.710436 , lambda = 2.000000 , time consumption = 0.460896s

successful step! iteration = 498 , error before = 26449.302627 , error next = 26367.088511 , error change = 82.214115 , lambda = 0.200000 , time consumption = 0.460506s

unsuccessful step! iteration = 499 , error before = 26367.088511 , error next = 26470.671298 , error change = -103.582787 , lambda = 2.000000 , time consumption = 0.462598s

successful step! iteration = 500 , error before = 26367.088511 , error next = 26285.760517 , error change = 81.327994 , lambda = 0.200000 , time consumption = 0.458793s

unsuccessful step! iteration = 501 , error before = 26285.760517 , error next = 26388.227130 , error change = -102.466612 , lambda = 2.000000 , time consumption = 0.458946s

successful step! iteration = 502 , error before = 26285.760517 , error next = 26205.309615 , error change = 80.450902 , lambda = 0.200000 , time consumption = 0.459909s

unsuccessful step! iteration = 503 , error before = 26205.309615 , error next = 26306.671422 , error change = -101.361807 , lambda = 2.000000 , time consumption = 0.463047s

successful step! iteration = 504 , error before = 26205.309615 , error next = 26125.726859 , error change = 79.582756 , lambda = 0.200000 , time consumption = 0.460493s

unsuccessful step! iteration = 505 , error before = 26125.726859 , error next = 26225.995125 , error change = -100.268266 , lambda = 2.000000 , time consumption = 0.458218s

successful step! iteration = 506 , error before = 26125.726859 , error next = 26047.003387 , error change = 78.723472 , lambda = 0.200000 , time consumption = 0.465430s

unsuccessful step! iteration = 507 , error before = 26047.003387 , error next = 26146.189271 , error change = -99.185883 , lambda = 2.000000 , time consumption = 0.476697s

successful step! iteration = 508 , error before = 26047.003387 , error next = 25969.130420 , error change = 77.872968 , lambda = 0.200000 , time consumption = 0.471497s

unsuccessful step! iteration = 509 , error before = 25969.130420 , error next = 26067.244976 , error change = -98.114556 , lambda = 2.000000 , time consumption = 0.470257s

successful step! iteration = 510 , error before = 25969.130420 , error next = 25892.099258 , error change = 77.031161 , lambda = 0.200000 , time consumption = 0.465915s

unsuccessful step! iteration = 511 , error before = 25892.099258 , error next = 25989.153440 , error change = -97.054182 , lambda = 2.000000 , time consumption = 0.467223s

successful step! iteration = 512 , error before = 25892.099258 , error next = 25815.901286 , error change = 76.197972 , lambda = 0.200000 , time consumption = 0.468769s

unsuccessful step! iteration = 513 , error before = 25815.901286 , error next = 25911.905944 , error change = -96.004657 , lambda = 2.000000 , time consumption = 0.467064s

successful step! iteration = 514 , error before = 25815.901286 , error next = 25740.527968 , error change = 75.373319 , lambda = 0.200000 , time consumption = 0.471492s

unsuccessful step! iteration = 515 , error before = 25740.527968 , error next = 25835.493849 , error change = -94.965881 , lambda = 2.000000 , time consumption = 0.471164s

successful step! iteration = 516 , error before = 25740.527968 , error next = 25665.970845 , error change = 74.557122 , lambda = 0.200000 , time consumption = 0.468190s

unsuccessful step! iteration = 517 , error before = 25665.970845 , error next = 25759.908599 , error change = -93.937754 , lambda = 2.000000 , time consumption = 0.467698s

successful step! iteration = 518 , error before = 25665.970845 , error next = 25592.221543 , error change = 73.749303 , lambda = 0.200000 , time consumption = 0.467044s

unsuccessful step! iteration = 519 , error before = 25592.221543 , error next = 25685.141718 , error change = -92.920175 , lambda = 2.000000 , time consumption = 0.470014s

successful step! iteration = 520 , error before = 25592.221543 , error next = 25519.271761 , error change = 72.949782 , lambda = 0.200000 , time consumption = 0.466659s

unsuccessful step! iteration = 521 , error before = 25519.271761 , error next = 25611.184807 , error change = -91.913045 , lambda = 2.000000 , time consumption = 0.463659s

successful step! iteration = 522 , error before = 25519.271761 , error next = 25447.113280 , error change = 72.158481 , lambda = 0.200000 , time consumption = 0.466567s

unsuccessful step! iteration = 523 , error before = 25447.113280 , error next = 25538.029548 , error change = -90.916267 , lambda = 2.000000 , time consumption = 0.466825s

successful step! iteration = 524 , error before = 25447.113280 , error next = 25375.737957 , error change = 71.375323 , lambda = 0.200000 , time consumption = 0.468116s

unsuccessful step! iteration = 525 , error before = 25375.737957 , error next = 25465.667700 , error change = -89.929743 , lambda = 2.000000 , time consumption = 0.468692s

successful step! iteration = 526 , error before = 25375.737957 , error next = 25305.137726 , error change = 70.600232 , lambda = 0.200000 , time consumption = 0.471754s

unsuccessful step! iteration = 527 , error before = 25305.137726 , error next = 25394.091102 , error change = -88.953376 , lambda = 2.000000 , time consumption = 0.480923s

successful step! iteration = 528 , error before = 25305.137726 , error next = 25235.304596 , error change = 69.833130 , lambda = 0.200000 , time consumption = 0.469689s

unsuccessful step! iteration = 529 , error before = 25235.304596 , error next = 25323.291666 , error change = -87.987070 , lambda = 2.000000 , time consumption = 0.475916s

successful step! iteration = 530 , error before = 25235.304596 , error next = 25166.230652 , error change = 69.073943 , lambda = 0.200000 , time consumption = 0.488402s

unsuccessful step! iteration = 531 , error before = 25166.230652 , error next = 25253.261383 , error change = -87.030731 , lambda = 2.000000 , time consumption = 0.470372s

successful step! iteration = 532 , error before = 25166.230652 , error next = 25097.908057 , error change = 68.322596 , lambda = 0.200000 , time consumption = 0.460841s

unsuccessful step! iteration = 533 , error before = 25097.908057 , error next = 25183.992320 , error change = -86.084264 , lambda = 2.000000 , time consumption = 0.473703s

successful step! iteration = 534 , error before = 25097.908057 , error next = 25030.329043 , error change = 67.579013 , lambda = 0.200000 , time consumption = 0.463565s

unsuccessful step! iteration = 535 , error before = 25030.329043 , error next = 25115.476618 , error change = -85.147575 , lambda = 2.000000 , time consumption = 0.459935s

successful step! iteration = 536 , error before = 25030.329043 , error next = 24963.485921 , error change = 66.843123 , lambda = 0.200000 , time consumption = 0.459269s

unsuccessful step! iteration = 537 , error before = 24963.485921 , error next = 25047.706492 , error change = -84.220571 , lambda = 2.000000 , time consumption = 0.457438s

successful step! iteration = 538 , error before = 24963.485921 , error next = 24897.371071 , error change = 66.114850 , lambda = 0.200000 , time consumption = 0.455481s

unsuccessful step! iteration = 539 , error before = 24897.371071 , error next = 24980.674232 , error change = -83.303161 , lambda = 2.000000 , time consumption = 0.460198s

successful step! iteration = 540 , error before = 24897.371071 , error next = 24831.976947 , error change = 65.394123 , lambda = 0.200000 , time consumption = 0.454880s

unsuccessful step! iteration = 541 , error before = 24831.976947 , error next = 24914.372201 , error change = -82.395254 , lambda = 2.000000 , time consumption = 0.454894s

successful step! iteration = 542 , error before = 24831.976947 , error next = 24767.296077 , error change = 64.680870 , lambda = 0.200000 , time consumption = 0.460419s

unsuccessful step! iteration = 543 , error before = 24767.296077 , error next = 24848.792835 , error change = -81.496758 , lambda = 2.000000 , time consumption = 0.460396s

successful step! iteration = 544 , error before = 24767.296077 , error next = 24703.321058 , error change = 63.975020 , lambda = 0.200000 , time consumption = 0.466675s

unsuccessful step! iteration = 545 , error before = 24703.321058 , error next = 24783.928641 , error change = -80.607584 , lambda = 2.000000 , time consumption = 0.476628s

successful step! iteration = 546 , error before = 24703.321058 , error next = 24640.044557 , error change = 63.276500 , lambda = 0.200000 , time consumption = 0.472060s

unsuccessful step! iteration = 547 , error before = 24640.044557 , error next = 24719.772199 , error change = -79.727642 , lambda = 2.000000 , time consumption = 0.475281s

successful step! iteration = 548 , error before = 24640.044557 , error next = 24577.459314 , error change = 62.585243 , lambda = 0.200000 , time consumption = 0.460711s

unsuccessful step! iteration = 549 , error before = 24577.459314 , error next = 24656.316160 , error change = -78.856845 , lambda = 2.000000 , time consumption = 0.468689s

successful step! iteration = 550 , error before = 24577.459314 , error next = 24515.558137 , error change = 61.901177 , lambda = 0.200000 , time consumption = 0.465195s

